table_name,column_name,data_type
acta,ide_act,int(5)
acta,num_acu,int(5)
acta,ide_pro,int(5)
acta,fec_acu,date
acta,doc_inv,text
acta,dep_inv,varchar(250)
acta,ext_inv,varchar(250)
acta,est_inv,varchar(250)
acta,tip_proy,varchar(50)
acta,convoc,varchar(300)
acta,coord,text
acta,ced_coord,text
acta,val_proy,varchar(50)
acta,vice,varchar(50)
acta,secre,varchar(50)
acta,gen_pro,char(2)
acta,gen_ext,char(2)
acta,gen_dir,char(2)
acta,Columna 19,int(11)
actividad,ide_act,int(5)
actividad,ide_pro,int(5)
actividad,num_act,int(5)
actividad,des_act,text
actividad,ini_act,int(2)
actividad,dur_act,int(2)
actividad,inv_act,char(15)
actividad2,ide_act,int(5)
actividad2,ide_pro,int(5)
actividad2,num_act,int(5)
actividad2,des_act,text
actividad2,ini_act,int(2)
actividad2,dur_act,int(2)
actividad2,inv_act,char(15)
actividad2,por_eje1,int(3)
actividad2,por_eje2,int(3)
actividad2,por_eje3,int(3)
actividad2,por_eje4,int(3)
actividad2,por_eje5,int(3)
actividad2,por_eje6,int(3)
actividad2,por_eje7,int(3)
actividad2,por_eje8,int(3)
actividad2,por_eje9,int(3)
actividad2,por_eje10,int(3)
actividad2,por_eje11,int(3)
actividad2,por_eje12,int(3)
acto,ide_acto,int(5)
acto,ide_sol,int(5)
acto,tip_acto,varchar(50)
acto,num_acto,char(10)
acto,fec_acto,date
acto,proveedor,varchar(50)
acto,ide_proveedor,varchar(15)
acto,tip_ideprov,char(5)
acto,cue_res,varchar(50)
acto,representante,varchar(50)
acto,ide_representante,varchar(15)
acto,matricula,varchar(50)
acto,camara,varchar(50)
acto,regimen,char(5)
acto,dir_prov,varchar(50)
acto,tel_prov,varchar(15)
acto,correo,varchar(50)
acto,plazo,int(5)
acto,nom_vice,varchar(50)
acto,ide_vice,varchar(15)
acto,tip_vic,varchar(15)
acto,val_acto,int(15)
acto,for_pag,text
acto,descripcion,text
acto,inv,varchar(50)
acto,dep_inv,varchar(50)
acto,proy,int(5)
acto,fec_ini,date
acto,fec_ter,date
acuerdo,ide_acu,int(5)
acuerdo,num_acu,int(5)
acuerdo,ide_pro,int(5)
acuerdo,fec_acu,date
acuerdo,doc_inv,text
acuerdo,dep_inv,text
acuerdo,ext_inv,varchar(250)
acuerdo,est_inv,varchar(250)
acuerdo,tip_proy,varchar(50)
acuerdo,convoc,varchar(300)
acuerdo,coord,text
acuerdo,ced_coord,text
acuerdo,val_proy,varchar(50)
acuerdo,vice,varchar(50)
acuerdo,secre,varchar(50)
acuerdo,gen_pro,char(2)
acuerdo,gen_ext,char(2)
acuerdo,gen_dir,char(2)
administrador,ide_adm,int(5)
administrador,ide_per,int(5)
administrador,est_adm,char(10)
administrador,tip_adm,char(2)
administrador,fec_ini,date
administrador,fec_ter,date
areaconocimiento,ide_are,int(3)
areaconocimiento,nom_are,varchar(250)
areaconocimiento,gra_are,varchar(3)
areaconocimiento,cod_are,char(2)
areagran,ide_are,int(2)
areagran,cod_are,int(5)
areagran,nom_are,char(100)
articulo,ide_art,int(5)
articulo,ide_per,int(5)
articulo,issn_rev,varchar(20)
articulo,vol_rev,int(3)
articulo,edi_rev,int(3)
articulo,fec_pub,date
articulo,nom_art,text
articulo,pag_ini,int(4)
articulo,pag_fin,int(4)
articulo,res_art,text
articulo,url_art,text
articulo,res_pro,int(5)
articulo,ide_com,int(5)
articulo,est_art,enum('Publicado'
articulo,aval_art,char(12)
asesor,ide_ase,int(5)
asesor,ide_pro,int(5)
asesor,ide_per,int(5)
asesor,tip_ase,char(1)
asesoria,ide_ase,int(5)
asesoria,ide_per,int(5)
asesoria,tip_tes,char(20)
asesoria,nom_tes,text
asesoria,pro_tes,int(2)
asesoria,val_tes,char(20)
asesoria,fec_sus,date
asesoria,aval_ase,enum('Sin
asesoria,tip_prg,enum('Interno'
asesoria,ins_ext,char(100)
asesoria,prg_ext,char(100)
asistencia,ide_asi,int(5)
asistencia,ide_per,int(5)
asistencia,tip_eve,char(15)
asistencia,nom_eve,varchar(250)
asistencia,cla_eve,char(15)
asistencia,fec_eve,date
asistencia,pai_eve,char(20)
asistencia,ciu_eve,text
asistencia,url_eve,text
asistencia,aval_asi,enum('Sin
autoresl,ide_aut,int(11)
autoresl,ide_lib,int(5)
autoresl,ide_per,int(5)
autoresl,aval_sol,char(12)
auxapr,est,char(1)
auxapr,estado,char(25)
auxiliar,ide_aux,int(5)
auxiliar,ide_per,int(5)
auxiliar,ide_pro,int(5)
auxiliar,fec_ini,date
auxiliar,fec_fin,date
auxiliar,ace_par,char(3)
auxprg,ide_pr,char(20)
auxprg,nom_prg,char(100)
auxtipo,ide_tip,char(1)
auxtipo,nom_tip,char(50)
banco,ide_ban,int(3)
banco,cod_ban,char(4)
banco,nom_ban,char(60)
beneficiarioa,ide_ben,int(5)
beneficiarioa,ide_mov,int(5)
beneficiarioa,nom_ben,char(60)
beneficiarioa,ced_ben,char(15)
cdp,ide_cdp,int(5)
cdp,ide_pro,int(5)
cdp,val_cdp,decimal(10
cdp,num_cdp,varchar(10)
cdp,fec_cdp,date
cdp,est_cdp,varchar(50)
centro,ide_cen,int(2)
centro,cod_cen,int(15)
centro,nom_cen,char(100)
cita,ide_cit,int(5)
cita,ide_per,int(5)
cita,ide_pub,char(20)
cita,nom_pub,char(200)
cita,pag_cit,int(10)
cita,fec_cit,date
cita,aval_cit,char(2)
cofinanciacion,ide_cof,int(5)
cofinanciacion,ide_pro,int(5)
cofinanciacion,ide_ent,int(5)
cofinanciacion,val_efe,int(10)
cofinanciacion,val_esp,int(10)
cofinanciacion,val_tot,int(10)
coinvestigador,ide_inv,int(5)
coinvestigador,ide_pro,int(5)
coinvestigador,ide_per,int(5)
coinvestigador,ide_gru,int(5)
coinvestigador,ace_par,char(2)
coinvestigador,fec_ini,date
coinvestigador,fec_fin,date
coinvestigadorex,ide_inv,int(5)
coinvestigadorex,ide_pro,int(5)
coinvestigadorex,ide_per,int(5)
coinvestigadorex,ide_gru,int(5)
coinvestigadorex,ace_par,char(2)
coinvestigadorex,fec_ini,date
coinvestigadorex,fec_fin,date
coinvestigadorm,ide_inv,int(5)
coinvestigadorm,ide_pro,int(5)
coinvestigadorm,ide_per,int(5)
coinvestigadorm,ide_gru,int(5)
coinvestigadorm,ace_par,char(2)
coinvestigadorm,fec_ini,date
coinvestigadorm,fec_fin,date
colaborador,ide_col,int(5)
colaborador,ide_per,int(5)
colaborador,ide_pro,int(5)
compromiso,ide_com,int(5)
compromiso,ide_pro,int(5)
compromiso,nom_com,char(60)
compromiso,cum_com,char(2)
compromiso,fec_cum,date
compromiso,pun_act,decimal(4
compromiso,res_cum,text
confirmacion,ide_conf,int(3)
confirmacion,ide_pro,int(5)
confirmacion,confirmacion,char(2)
confirmacion,fecha,date
contenidoproyecto,id_con,int(11)
contenidoproyecto,ide_pro,int(5)
contenidoproyecto,res_pro,text
contenidoproyecto,pla_pro,text
contenidoproyecto,fun_pro,text
contenidoproyecto,ant_pro,text
contenidoproyecto,gen_pro,text
contenidoproyecto,jus_pro,text
contenidoproyecto,met_pro,text
contenidoproyecto,iden_pro,text
contenidoproyecto,bib_pro,text
contenidoproyecto,bio_pro,text
contenidoproyecto,rut_doc,char(5)
contenidoproyecto,rut_doc2,char(5)
contenidoproyecto2,id_con,int(11)
contenidoproyecto2,ide_pro,int(5)
contenidoproyecto2,res_pro,text
contenidoproyecto2,pla_pro,text
contenidoproyecto2,fun_pro,text
contenidoproyecto2,ant_pro,text
contenidoproyecto2,gen_pro,text
contenidoproyecto2,jus_pro,text
contenidoproyecto2,met_pro,text
contenidoproyecto2,iden_pro,text
contenidoproyecto2,bib_pro,text
contenidoproyecto2,bio_pro,text
contenidoproyecto2,rut_doc,char(5)
contenidoproyecto2,rut_doc2,char(5)
contratista,ide_cont,int(5)
contratista,ide_mov,int(5)
contratista,nom_cont,varchar(70)
contratista,tip_idecont,char(5)
contratista,ced_cont,varchar(50)
contratista,gen_cont,char(5)
contratista,prof_cont,varchar(50)
contratista,lug_cont,varchar(50)
contratista,dir_cont,varchar(50)
contratista,tel_cont,varchar(50)
contratista,cor_cont,varchar(70)
contratista,cue_bancont,text
contratista,met_obj,varchar(15)
convocatoria,ide_conv,int(11)
convocatoria,nom_conv,text
convocatoria,tip_conv,char(11)
convocatoria,fec_ape,date
convocatoria,fec_cie,date
convocatoria,num_acu,varchar(4)
convocatoria,fec_acu,date
convocatoria,est_conv,char(8)
convocatoria,bolsa_conv,int(15)
correoi,ide_cor,int(5)
correoi,correo,text
correoi,clave,text
correoi,tip_adm,char(2)
departamento,ide_dep,int(5)
departamento,nom_dep,char(70)
departamento,ide_fac,int(2)
departamento,cod_dep,char(5)
departamento,are_dep,char(70)
departamentoc,ide_dep,int(3)
departamentoc,nom_dep,char(50)
disciplina,ide_dis,int(11)
disciplina,cod_dis,char(4)
disciplina,nom_dis,varchar(100)
disciplina,cod_are,char(2)
elemento,ide_ele,bigint(20)
elemento,ide_mov,int(5)
elemento,rubro,char(50)
elemento,des_ele,text
elemento,esp_ele,text
elemento,tip_val,char(1)
elemento,val_uni,decimal(11
elemento,can_ele,int(11)
elemento,tip_valn,char(1)
elemento,val_unin,decimal(11
elemento,comp,char(2)
elemento,rei_ele,int(11)
elemento,cla_ele,char(20)
elemento,dev_ele,char(15)
elemento,ido_ele,varchar(300)
entidad,ide_ent,int(5)
entidad,nom_ent,text
estudiante,ide_per,int(5)
estudiante,cod_est,bigint(10)
estudiante,ide_prg,int(10)
estudiante,estado,char(1)
estudiante,sn,char(2)
estudiante,aval_ccei,char(2)
estudianted,ide_per,int(5)
estudianted,cod_est,bigint(10)
estudianted,ide_prg,int(10)
estudianted,estado,char(1)
estudiantee,ide_per,int(5)
estudiantee,cod_est,bigint(10)
estudiantee,ide_prg,int(10)
estudiantee,estado,char(1)
estudiantem,ide_per,int(5)
estudiantem,cod_est,bigint(10)
estudiantem,ide_prg,int(10)
estudiantem,estado,char(1)
estudio,ide_est,int(5)
estudio,ide_per,int(5)
estudio,niv_est,int(1)
estudio,tit_est,char(200)
estudio,ins_est,char(100)
estudio,fec_est,date
estudio,aval_est,char(2)
evaluador,ide_pro,int(5)
evaluador,ide_per,int(5)
evaluador,fec_env,date
evaluador,ace_eva,char(2)
evaluador,men_eva,int(1)
evaluador,raz_ace,text
evaluador,est_eva,char(20)
evaluador,fec_est,date
evaluador,con_pla,text
evaluador,pun_pla,int(2)
evaluador,con_mar,text
evaluador,pun_mar,int(2)
evaluador,con_obj,text
evaluador,pun_obj,int(2)
evaluador,con_res,text
evaluador,pun_res,int(2)
evaluador,con_pro,text
evaluador,pun_pro,int(2)
evaluador,con_met,text
evaluador,pun_met,int(2)
evaluador2,ide_pro,int(5)
evaluador2,ide_per,int(5)
evaluador2,con_inn,text
evaluador2,pun_inn,int(2)
evaluador2,con_cro,text
evaluador2,pun_cro,int(2)
evaluador2,con_imp,text
evaluador2,pun_imp,int(2)
evaluador2,con_pre,text
evaluador2,pun_pre,int(2)
evaluador2,con_bib,text
evaluador2,pun_bib,int(2)
evaluador2,con_ben,text
evaluador2,pun_ben,int(2)
evaluador2,pun_int,char(2)
evaluador2,pun_tot,int(3)
evaluador2,aval_con,char(3)
evaluador2,pun_est,int(1)
evaluador2,apr_cor,char(1)
evaluadorinf,ide_inf,int(5)
evaluadorinf,ide_per,int(5)
evaluadorinf,fec_env,date
evaluadorinf,ace_eva,char(2)
evaluadorinf,men_eva,int(1)
evaluadorinf,raz_ace,text
evaluadorinf,est_eva,char(20)
evaluadorinf,fec_est,date
evaluadorinf,con_int,text
evaluadorinf,pun_int,int(2)
evaluadorinf,con_met,text
evaluadorinf,pun_met,int(2)
evaluadorinf,con_res,text
evaluadorinf,pun_res,int(2)
evaluadorinf,con_dis,text
evaluadorinf,pun_dis,int(2)
evaluadorinf,con_con,text
evaluadorinf,pun_con,int(2)
evaluadorinf,con_ref,text
evaluadorinf,pun_ref,int(2)
evaluadorinf,pun_tot,int(3)
evaluadorsug,ide_eva,int(5)
evaluadorsug,ide_pro,int(5)
evaluadorsug,nom_eva,varchar(100)
evaluadorsug,mov_eva,varchar(50)
evaluadorsug,cor_eva,varchar(50)
externo,ide_per,int(5)
externo,ide_are,int(3)
externo,estado,char(1)
externo,aval_ccei,char(2)
facultad,ide_fac,int(2)
facultad,nom_fac,char(40)
frmacidos,ide_frm,int(5)
frmacidos,ide_pro,int(5)
frmacidos,uno,char(3)
frmacidos,dos,char(3)
frmanimales,ide_frm,int(5)
frmanimales,ide_pro,int(5)
frmanimales,uno,char(3)
frmanimales,dos,char(3)
frmanimales,tres,char(3)
frmanimales,cuatro,char(3)
frmanimales,cinco,char(3)
frmcomunidades,ide_frm,int(5)
frmcomunidades,ide_pro,int(5)
frmcomunidades,uno,char(3)
frmcomunidades,dos,char(3)
frmcomunidades,tres,char(3)
frmcomunidades,cuatro,char(3)
frmembarazadas,ide_frm,int(5)
frmembarazadas,ide_pro,int(5)
frmembarazadas,uno,char(3)
frmembarazadas,dos,char(3)
frmembarazadas,tres,char(3)
frmembarazadas,cuatro,char(3)
frmembarazadas,cinco,char(3)
frmfarmacologia,ide_frm,int(5)
frmfarmacologia,ide_pro,int(5)
frmfarmacologia,uno,char(3)
frmfarmacologia,dos,char(3)
frmfarmacologia,tres,char(3)
frmfarmacologia,cuatro,char(3)
frmfarmacologia,cinco,char(3)
frmhumanos,ide_pro,int(5)
frmhumanos,tip_imp,char(3)
frmhumanos,rut_con,char(5)
frmhumanos,uno,char(3)
frmhumanos,dos,char(3)
frmhumanos,tres,char(3)
frmhumanos,cuatro,char(3)
frmhumanos,cinco,char(3)
frmhumanos,seis,char(3)
frmisotopos,ide_frm,int(5)
frmisotopos,ide_pro,int(5)
frmisotopos,uno,char(3)
frmisotopos,dos,char(3)
frmisotopos,tres,char(3)
frmisotopos,cuatro,char(3)
frmmenores,ide_frm,int(5)
frmmenores,ide_pro,int(5)
frmmenores,uno,char(3)
frmmenores,dos,char(3)
frmmenores,tres,char(3)
frmmenores,cuatro,char(3)
frmmenores,cinco,char(3)
frmmicroorganismos,ide_frm,int(5)
frmmicroorganismos,ide_pro,int(5)
frmmicroorganismos,uno,char(3)
frmmicroorganismos,dos,char(3)
frmmicroorganismos,tres,char(3)
frmmicroorganismos,cuatro,char(3)
frmmicroorganismos,cinco,char(3)
frmmicroorganismos,seis,char(3)
frmmicroorganismos,siete,char(3)
frmobservaciones,ide_frm,int(5)
frmobservaciones,ide_pro,int(5)
frmobservaciones,uno,text
frmorganos,ide_frm,int(5)
frmorganos,ide_pro,int(5)
frmorganos,uno,char(3)
frmprofilacticos,ide_frm,int(5)
frmprofilacticos,ide_pro,int(5)
frmprofilacticos,uno,char(3)
frmprofilacticos,dos,char(3)
frmprofilacticos,tres,char(3)
frmprofilacticos,cuatro,char(3)
frmprofilacticos,cinco,char(3)
frmprofilacticos,seis,char(3)
frmrecursos,ide_frm,int(5)
frmrecursos,ide_pro,int(5)
frmrecursos,uno,char(3)
frmrecursos,dos,char(3)
frmrecursos,tres,char(3)
frmrecursos,cuatro,char(3)
frmsubordinados,ide_frm,int(5)
frmsubordinados,ide_pro,int(5)
frmsubordinados,uno,char(3)
grupo,ide_gru,int(5)
grupo,cod_col,char(12)
grupo,nom_gru,char(150)
grupo,ide_cen,int(2)
grupo,ide_dep,int(5)
grupo,ide_dir,int(5)
grupo,gruplac,text
grupo,ide_are,int(10)
grupo,clas_gru,char(15)
grupo,fec_cre,date
grupo,sed_gru,char(10)
grupo,tip_gru,char(1)
grupo,est_gru,char(10)
historial,ide_his,int(5)
historial,ide_pro,int(3)
historial,est_pro,char(30)
historial,fec_est,datetime
idioma,PAI_PK,int(2)
idioma,nom_idi,char(80)
impacto,ide_imp,int(5)
impacto,ide_pro,int(5)
impacto,des_imp,text
impacto,tip_imp,char(200)
impacto2,ide_imp,int(5)
impacto2,ide_pro,int(5)
impacto2,des_imp,text
impacto2,tip_imp,char(200)
implicacioneseticas,ide_pro,int(5)
implicacioneseticas,rut_aval,char(5)
implicacioneseticas,come_imp,text
implicacioneseticas,rev_imp,char(3)
implicacioneseticas,rev_por,int(2)
implicacioneseticas,con_inv,char(2)
implicacioneseticas,aval_imp,char(3)
implicacioneseticas,num_acu,int(5)
implicacioneseticas,fec_acu,date
implicacioneseticas,rut_act,char(5)
imputacioncdp,ide_reg,int(5)
imputacioncdp,ide_cdp,int(5)
imputacioncdp,ide_acto,int(5)
imputacioncdp,val_imp,int(5)
indexrev,ide_idx,int(11)
indexrev,issn_rev,varchar(50)
indexrev,fec_ini,date
indexrev,fec_fin,date
indexrev,clas,char(3)
informefi,ide_inf,int(5)
informefi,ide_pro,int(5)
informefi,res_pro,text
informefi,int_pro,text
informefi,met_pro,text
informefi,resu_pro,text
informefi,dis_pro,text
informefi,con_pro,text
informefi,rec_pro,text
informefi,ref_pro,text
informefi,fec_inf,date
informefi,est_inf,char(20)
informefi,rut_adj,text
informefi,vb_ase,char(2)
informefi,estadoe,char(2)
informefi,puntaje,int(2)
informepi,ide_inf,int(5)
informepi,num_inf,int(2)
informepi,ide_pro,int(5)
informepi,log_obt,text
informepi,dif_pre,text
informepi,fec_inf,date
informepi,est_inf,char(20)
informepi,rut_adj,text
informepi,vb_ase,char(2)
integrantegrupo,ide_gru,int(5)
integrantegrupo,ide_per,int(5)
integrantegrupo,estado,char(1)
integrantesemillero,ide_sem,int(5)
integrantesemillero,ide_per,int(5)
integrantesemillero,estado,char(1)
integrantesetica,ide_int,int(2)
integrantesetica,nombre,char(50)
integrantesetica,ide_per,int(5)
integrantesetica,estado,char(1)
investigador,ide_per,int(5)
investigador,ide_dep,int(5)
investigador,vin_inv,char(6)
investigador,ide_are,int(3)
investigador,cat_inv,char(2)
investigador,est_inv,char(30)
investigador,aval_cat,char(2)
investigador,aval_est,char(2)
investigador,estado,char(1)
investigador,sn,char(2)
investigador,aval_ccei,char(2)
justificacionconsorcio,ide_pro,int(5)
justificacionconsorcio,jus_con,text
libro,ide_lib,int(5)
libro,ide_per,int(5)
libro,isbn_lib,char(20)
libro,nom_lib,char(250)
libro,vol_lib,int(3)
libro,edi_lib,int(3)
libro,pag_lib,int(5)
libro,fec_pub,date
libro,pai_pub,char(20)
libro,idi_lib,char(20)
libro,res_lib,text
libro,url_lib,text
libro,ide_com,int(5)
libro,res_pro,int(5)
libro,est_lib,char(20)
libro,aval_lib,char(12)
linea,ide_lin,int(5)
linea,ide_gru,int(5)
linea,dir_lin,int(5)
linea,nom_lin,text
linea,dep_lin,int(5)
linea,est_lin,char(10)
linea,aval_lin,char(2)
lineaproyecto,ide_lin,int(5)
lineaproyecto,ide_pro,int(5)
lineaproyecto,tip_lin,char(2)
lineaproyecto,aval_lin,char(2)
monitorg,ide_mon,int(5)
monitorg,ide_per,int(5)
monitorg,ide_gru,int(5)
monitorg,promedio,char(5)
monitorg,con_mon,char(20)
monitorg,est_mon,char(20)
monitorg,fec_est,date
monitoria,ide_mon,int(5)
monitoria,ide_mov,int(5)
monitoria,tip_mon,text
monitoria,sem1,int(5)
monitoria,sem2,int(5)
monitoria,dep,text
monitoria,ced_mon,int(15)
monitoria,nom_mon,varchar(50)
monitoria,cod_mon,int(15)
monitoria,mod_mon,char(10)
movimiento,ide_mov,int(6)
movimiento,ide_pro,int(5)
movimiento,tip_mov,char(50)
